Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
2015-01-02,24.237548828125,15.425999641418457,26.27894401550293,76.95555114746094,46.51112365722656,77.90579986572266,39.85845184326172,0.4830113649368286,66.51834869384766,57.91688919067383
2015-01-05,23.55473518371582,15.10949993133545,25.778226852416992,76.41808319091797,45.067195892333984,76.654541015625,39.491920471191406,0.4748532176017761,66.20206451416016,56.33220291137695
2015-01-06,23.55695152282715,14.76449966430664,25.14203453063965,76.0425796508789,43.898651123046875,75.62174987792969,38.912288665771484,0.460456520318985,65.9005126953125,56.0327262878418
2015-01-07,23.88728141784668,14.920999526977539,25.068092346191406,77.7212905883789,43.96562957763672,75.62174987792969,39.40668869018555,0.4592567980289459,66.2462158203125,56.600467681884766
2015-01-08,24.805076599121094,15.02299976348877,25.15543556213379,78.33240509033203,44.948116302490234,77.63768768310547,40.56595230102539,0.47653287649154663,67.0037612915039,57.542579650878906
2015-01-09,24.83169174194336,14.846500396728516,24.848255157470703,77.2647933959961,44.166595458984375,77.20073699951172,40.224998474121094,0.47845250368118286,66.37858581542969,57.46145248413086
2015-01-12,24.219816207885742,14.570500373840332,24.6666259765625,76.99974822998047,43.78700637817383,76.18779754638672,39.72207260131836,0.472453773021698,66.13587951660156,56.357139587402344
2015-01-13,24.434856414794922,14.737000465393066,24.9018497467041,77.13227844238281,43.79444885253906,75.91967010498047,39.517494201660156,0.471733957529068,66.41536712646484,56.15126419067383
2015-01-14,24.34174919128418,14.66349983215332,25.10679817199707,76.57269287109375,42.28352355957031,75.75084686279297,39.17652893066406,0.47365349531173706,66.18737030029297,55.989036560058594
2015-01-15,23.681108474731445,14.34749984741211,25.011520385742188,75.46089935302734,40.928916931152344,73.53633117675781,38.767372131347656,0.4702942967414856,66.09175872802734,55.50239181518555
2015-01-16,23.49710464477539,14.536999702453613,25.33160400390625,76.6021499633789,41.628543853759766,74.65847778320312,39.41520309448242,0.4789324104785919,67.11407470703125,56.850032806396484
2015-01-20,24.102312088012695,14.472000122070312,25.305797576904297,74.57740783691406,41.46479415893555,75.71113586425781,39.54306411743164,0.48037195205688477,67.06996154785156,56.83130645751953
2015-01-21,24.286325454711914,14.862500190734863,25.824377059936523,75.02652740478516,41.59878158569336,76.2076644897461,39.14243698120117,0.48709046840667725,67.20623779296875,57.317970275878906
2015-01-22,24.918142318725586,15.515999794006348,26.66353416442871,76.39601135253906,42.86408233642578,77.11135864257812,40.1738395690918,0.4954885244369507,67.86552429199219,57.941856384277344
2015-01-23,25.04672622680664,15.619500160217285,26.89429473876953,75.24742126464844,42.186767578125,77.29010009765625,40.21645736694336,0.4969283640384674,66.72476959228516,56.7065315246582
2015-01-26,25.073326110839844,15.482999801635742,26.634756088256836,75.29159545898438,42.25375747680664,76.96239471435547,40.071556091308594,0.49476876854896545,66.35442352294922,57.24932861328125
2015-01-27,24.195432662963867,15.337499618530273,25.864076614379883,75.1664047241211,41.829505920410156,75.25431060791016,36.36359786987305,0.4710141718387604,64.06555938720703,56.74397659301758
2015-01-28,25.563264846801758,15.195500373840332,25.429363250732422,74.71730041503906,40.75027084350586,75.71113586425781,35.11055374145508,0.463335782289505,63.0729866027832,54.872257232666016
2015-01-29,26.35914421081543,15.58899974822998,25.46906280517578,75.37992858886719,41.435028076171875,77.45893096923828,35.80953598022461,0.4746132493019104,63.45816421508789,54.64142608642578
2015-01-30,25.973398208618164,17.726499557495117,26.675945281982422,73.7306900024414,40.474891662597656,75.38341522216797,34.43715286254883,0.4606964886188507,62.43596267700195,54.541587829589844
2015-02-02,26.29928207397461,18.223499298095703,26.410451889038086,74.23869323730469,41.286170959472656,74.46980285644531,35.18727111816406,0.47077417373657227,63.05077362060547,55.88919448852539
2015-02-03,26.303720474243164,18.177499771118164,26.465038299560547,75.43885040283203,42.216529846191406,74.87696075439453,35.46003341674805,0.48253142833709717,63.66559600830078,57.555015563964844
2015-02-04,26.50545310974121,18.237499237060547,26.107738494873047,74.62891387939453,41.963478088378906,75.10536193847656,35.66463088989258,0.4837312400341034,63.547061920166016,57.062164306640625
2015-02-05,26.694643020629883,18.694499969482422,26.2928409576416,75.43885040283203,42.25375747680664,75.08549499511719,36.18458557128906,0.4916495978832245,64.22112274169922,57.6236686706543
2015-02-06,26.469850540161133,18.714000701904297,26.493820190429688,74.43749237060547,43.08735275268555,73.95342254638672,36.1505012512207,0.48948994278907776,63.413726806640625,57.51680374145508
2015-02-09,26.645675659179688,18.527999877929688,26.265544891357422,73.46561431884766,43.03525924682617,73.92362213134766,36.107887268066406,0.4890100359916687,62.998924255371094,57.55451965332031
